city,state,city_geoid,LAT,LON,nearest_bg_geoid,walkability_index
Abanda CDP,AL,010179538002,3907472.2399755125,-9520825.317341542,010179538002,1.833333333
Abbeville city,AL,010670302002,3706306.1803077734,-9491001.935202098,010670302002,7.333333333
Adamsville city,AL,010730121041,3975526.831960262,-9681626.099153442,010730121041,5.0
Addison town,AL,011339655012,4056049.709338869,-9704611.013653968,011339655012,3.5
Akron town,AL,010650401002,3879262.9768559914,-9767272.198424047,,
Alabaster city,AL,011170303063,3923790.6901567914,-9665101.054703655,011170303063,9.333333333
Albertville city,AL,010950309031,4064188.917579281,-9596926.772152038,010950309031,8.0
Alexander City city,AL,011239623012,3884255.013570398,-9566862.605954008,,
Alexandria CDP,AL,010150025032,3996730.899174097,-9559228.203955913,,
Aliceville city,AL,011070504013,3911735.4007576336,-9813853.282749038,,
Allgood town,AL,010090501041,4016404.786405532,-9630929.199295351,,
Altoona town,AL,010550111003,4034176.1950207786,-9607448.579102326,010550111003,4.666666667
Andalusia city,AL,010399620004,3673000.838998914,-9626690.375724927,010399620004,10.66666667
Anderson town,AL,010770118013,4152427.609849107,-9715327.741032636,010770118013,4.833333333
Anniston city,AL,010150002001,3985040.7106354237,-9552424.690637102,010150002001,7.5
Arab city,AL,010950304013,4073521.2805629885,-9629265.86346392,010950304013,8.333333333
Ardmore town,AL,010830201032,4162228.4996458297,-9665762.515117947,,
Argo city,AL,011150405042,3987388.3667347394,-9629723.831849042,,
Ariton town,AL,010450201001,3710626.989103481,-9541534.304852797,010450201001,4.666666667
Arley town,AL,011339655023,4039042.988891476,-9709044.535013791,,
Ashford city,AL,010690419021,3656835.24790998,-9488454.388655294,,
Ashland town,AL,010279590001,3931182.6502666436,-9554964.444819551,010279590001,6.5
Ashville city,AL,011150404011,4006694.418106436,-9603534.140528072,011150404011,4.333333333
Athens city,AL,010830209001,4133891.3828407126,-9679318.66874828,010830209001,8.666666667
Atmore city,AL,010539704002,3648872.1086345725,-9735757.53926098,010539704002,6.0
Attalla city,AL,010550102021,4026947.6969916336,-9586949.985428672,,
Auburn city,AL,010810408011,3843361.726950311,-9517231.590220263,,
Autaugaville town,AL,010010211004,3820226.140510105,-9646808.145420577,,
Avon town,AL,010690419021,3656112.1781038716,-9493238.343772136,,
Axis CDP,AL,010970057022,3622645.6857190067,-9798633.236689817,,
Babbie town,AL,010399623001,3672042.826485554,-9609035.772402057,010399623001,3.333333333
Baileyton town,AL,010439641001,4063882.896433124,-9641246.178382583,010439641001,5.5
Bakerhill town,AL,010059505003,3734063.7932294896,-9495041.385564512,010059505003,3.5
Ballplay CDP,AL,010550106023,4031897.0951228007,-9551376.840270264,,
Banks town,AL,011091886001,3738823.5081886686,-9555268.124390434,011091886001,1.5
Bay Minette city,AL,010030105002,3619047.2236991576,-9772883.479996463,010030105002,6.666666667
Bayou La Batre city,AL,010970073004,3556049.5516070304,-9825422.38346871,010970073004,6.5
Bear Creek town,AL,010939640012,4063158.6882936866,-9764210.91242723,,
Beatrice town,AL,010990756001,3728353.974829847,-9708066.593287172,010990756001,3.166666667
Beaverton town,AL,010750300002,4020132.5952069717,-9798539.50567857,010750300002,1.833333333
Belgreen CDP,AL,010599731002,4092700.535915346,-9780717.255202567,010599731002,2.833333333
Belk town,AL,010570202004,3982121.2903098925,-9788168.091360344,010570202004,10.66666667
Bellamy CDP,AL,011190115001,3824328.014084556,-9810751.587777063,011190115001,3.333333333
Belle Fontaine CDP,AL,010970071031,3566625.9322004924,-9807908.376662714,010970071031,6.333333333
Benton town,AL,010857810003,3803799.5762601863,-9664485.012641605,010857810003,3.5
Berlin town,AL,010439642013,4053670.81214551,-9656849.497448603,,
Berry town,AL,010570204002,3984135.5683098203,-9752623.889269542,010570204002,6.5
Bessemer city,AL,010730143012,3944633.253508634,-9681625.54255599,010730143012,7.5
Billingsley town,AL,010010210003,3850884.0535877272,-9652147.139518512,,
Birmingham city,AL,010730024022,3965488.3770490396,-9662201.849885436,,
Black town,AL,010610504004,3634018.028874379,-9545025.172764583,010610504004,4.166666667
Blountsville town,AL,010090505013,4038989.7680804515,-9638477.662646554,,
Blue Ridge CDP,AL,010510307023,3828978.64858522,-9593784.890843889,,
Blue Springs town,AL,010059504001,3719222.466042219,-9518208.975349426,010059504001,2.0
Boaz city,AL,010950312004,4055556.9583543134,-9590747.538537595,010950312004,10.83333333
Boligee town,AL,010630602001,3864560.899726107,-9799297.814049853,010630602001,3.833333333
Bon Air town,AL,011210113012,3929779.8172532185,-9609897.162621817,,
Bon Secour CDP,AL,010030114104,3544523.34358084,-9765434.42495054,,
Boykin CDP,AL,011310347001,3772289.2586311223,-9717561.811893364,011310347001,2.166666667
Brantley town,AL,010419639001,3708564.7896917416,-9602061.272345386,010419639001,4.833333333
Brantleyville CDP,AL,011170304082,3924449.0771658346,-9671718.107875388,011170304082,5.5
Brent city,AL,010070100091,3887991.7130789575,-9703952.447546434,,
Brewton city,AL,010539702002,3646935.726732928,-9693320.879578222,010539702002,9.666666667
Bridgeport city,AL,010719502001,4156994.9790469278,-9542725.868682247,010719502001,4.333333333
Brighton city,AL,010730136015,3953793.3999771094,-9678718.10009545,010730136015,6.5
Brilliant town,AL,010939645002,4032249.535311723,-9770405.619450895,010939645002,4.5
Bristow Cove CDP,AL,010550111001,4043476.5112020303,-9600303.42626627,010550111001,2.833333333
Brook Highland CDP,AL,011170302213,3953591.1646122807,-9649759.225121507,,
Brookside town,AL,010730116001,3979844.9024298643,-9674366.621200342,010730116001,4.0
Brookwood town,AL,011250106012,3927182.420119939,-9721696.77437888,011250106012,5.833333333
Broomtown CDP,AL,010199557021,4078016.7185461866,-9521391.154313244,010199557021,2.5
Brundidge city,AL,011091893003,3726303.160365958,-9553165.967126295,011091893003,3.666666667
Bucks CDP,AL,010970058001,3634941.656685263,-9799052.354572654,010970058001,4.166666667
Butler town,AL,010239568005,3775981.6685328376,-9819579.22339697,010239568005,7.333333333
Calera city,AL,011170305042,3911551.042237221,-9656480.918614587,,
Calvert CDP,AL,011290442003,3652231.5913563953,-9798514.013515178,011290442003,2.833333333
Camden city,AL,011310348024,3763112.811602313,-9716961.465879517,,
Camp Hill town,AL,011239626002,3868433.307677362,-9535163.713033678,011239626002,4.166666667
Carbon Hill city,AL,011270211001,4014710.5833268017,-9742913.15612917,011270211001,5.0
Cardiff town,AL,010730116001,3981539.4474604204,-9677074.245174907,010730116001,4.0
Carlisle-Rockledge CDP,AL,010550110022,4044180.3718065075,-9587287.95140272,010550110022,2.833333333
Carlton CDP,AL,010259580032,3678100.944551493,-9777821.612608053,,
Carolina town,AL,010399629002,3663195.4591383208,-9631473.774244314,010399629002,3.333333333
Carrollton town,AL,011070503001,3930119.027185171,-9806698.445117282,011070503001,6.166666667
Castleberry town,AL,010359604003,3671729.4984848103,-9688038.324462118,010359604003,3.0
Catherine CDP,AL,011310347001,3787773.2182159293,-9737113.41065884,011310347001,2.166666667
Cedar Bluff town,AL,010199557011,4058572.4827754507,-9527675.473526997,010199557011,6.833333333
Center Point city,AL,010730118042,3981086.5370585243,-9649681.858075406,010730118042,14.5
Centre city,AL,010199560001,4049372.6731417207,-9536928.126962751,010199560001,3.333333333
Centreville city,AL,010070100081,3889858.784596596,-9699494.658537617,,
Chatom town,AL,011290440002,3693827.6096462533,-9823501.899613544,011290440002,7.5
Chelsea city,AL,011170302182,3936391.66815251,-9644179.558284475,,
Cherokee town,AL,010330210003,4131002.09956384,-9792284.574810388,010330210003,6.666666667
Cherokee Ridge town,AL,010950303012,4085463.791629118,-9636184.25849723,,
Chickasaw city,AL,010970053001,3603103.0104916506,-9804987.019265825,010970053001,5.666666667
Childersburg city,AL,011210113011,3934200.8394667804,-9611421.015131284,,
Choccolocco CDP,AL,010150020021,3984272.799731887,-9540880.85944184,,
Chunchula CDP,AL,010970059003,3623297.5036079283,-9819291.907791235,,
Citronelle city,AL,010970060003,3645387.8278947584,-9823927.585346337,010970060003,7.166666667
Clanton city,AL,010210601041,3874824.1225294564,-9642437.964851016,,
Clay city,AL,010730111173,3988132.936962258,-9641178.718771162,,
Clayhatchee town,AL,010450212002,3663556.7411585394,-9542471.281006804,010450212002,4.166666667
Clayton city,AL,010059502003,3747867.5546710216,-9513414.22224198,010059502003,5.0
Cleveland town,AL,010090502001,4029094.616349527,-9635965.627017312,010090502001,3.166666667
Clio city,AL,010059504003,3725109.34553023,-9530177.267763086,010059504003,2.833333333
Coaling city,AL,011250107061,3917877.2543569817,-9723744.941689987,,
Coats Bend CDP,AL,010550107001,4038645.0483978507,-9559516.96671503,010550107001,3.5
Coffee Springs town,AL,010610502001,3654304.884366322,-9563557.418952866,010610502001,2.833333333
Coffeeville town,AL,010259577001,3732707.3793490482,-9805694.120671345,010259577001,3.333333333
Coker town,AL,011250103023,3927702.8381113084,-9760640.896357492,011250103023,3.833333333
Collinsville city,AL,010499608002,4064740.3691581464,-9558849.940326199,010499608002,7.0
Colony town,AL,010439655011,4020935.2500683465,-9673886.50023655,,
Columbia town,AL,010690417001,3671165.7887821263,-9474424.347952655,010690417001,6.0
Columbiana city,AL,011170307014,3920743.6734038237,-9642006.4905047,,
Concord CDP,AL,010730140012,3956786.9233616088,-9689296.234708082,010730140012,4.333333333
Coosada town,AL,010510312001,3828515.905268554,-9609826.808703635,010510312001,5.5
Cordova town,AL,011270215003,3996860.6487262743,-9706994.586590832,011270215003,3.5
Cottondale CDP,AL,011250108041,3920955.846498409,-9735430.593916519,011250108041,8.166666667
Cottonwood town,AL,010690420002,3639768.3469142467,-9495503.584090287,010690420002,2.833333333
County Line town,AL,010090507021,4004510.8336287495,-9653036.916208426,,
Courtland town,AL,010799792023,4119118.0933029535,-9721296.46948999,,
Cowarts town,AL,010690419011,3659563.43928453,-9496640.044771794,,
Creola town,AL,010970038001,3616428.728087468,-9797176.732472278,010970038001,3.0
Crossville town,AL,010499607021,4066824.7861472443,-9573446.931195447,,
Cuba town,AL,011190116002,3821303.7428567777,-9837837.512318412,011190116002,4.833333333
Cullman city,AL,010439649013,4052576.1432262543,-9667057.606073836,,
Cullomburg CDP,AL,010239570001,3725704.0791136753,-9828595.322914792,010239570001,2.5
Cusseta town,AL,010179543003,3867150.1319417404,-9496194.766808622,010179543003,6.833333333
Dadeville city,AL,011239624003,3872246.1843863423,-9548563.017501483,011239624003,8.5
Daleville city,AL,010450212001,3670668.5419651666,-9541384.023540225,010450212001,5.333333333
Daphne city,AL,010030107102,3584522.5887065167,-9781875.979782235,,
Dauphin Island town,AL,010970072032,3535843.3154948694,-9815180.656357257,,
Daviston town,AL,011239619001,3902850.8224456646,-9532769.898703659,011239619001,2.0
Dayton town,AL,010919731001,3809467.998703396,-9756215.278681513,010919731001,4.166666667
Deatsville town,AL,010510301031,3840882.6081358814,-9616786.057990067,,
Decatur city,AL,011030009001,4106003.2191055296,-9683671.48347728,011030009001,9.333333333
Deer Park CDP,AL,011290443002,3661141.1053341036,-9832630.543136558,011290443002,1.333333333
Delta CDP,AL,010279589001,3953923.2006581435,-9537398.117852882,010279589001,3.166666667
Demopolis city,AL,010919729023,3829090.0475594737,-9776821.073024802,,
Detroit town,AL,010750300001,4032478.9496436995,-9814798.0512674,010750300001,3.166666667
Dodge City town,AL,010439655022,4034614.282538035,-9672052.28898675,,
Dora city,AL,011270217001,3992352.811873069,-9693845.083060369,011270217001,4.0
Dothan city,AL,010690404003,3663136.6134863286,-9507444.046631245,010690404003,10.33333333
Double Springs town,AL,011339656023,4048913.840034165,-9728148.74074577,,
Douglas town,AL,010950310012,4051417.402810975,-9609475.373071201,,
Dozier town,AL,010419638001,3698561.281004245,-9614579.260404581,010419638001,3.833333333
Dunnavant CDP,AL,011170309003,3961215.588631987,-9633616.006525138,011170309003,3.166666667
Dutton town,AL,010719511013,4110486.74984979,-9563663.3951081,,
Eagle Point CDP,AL,011170303483,3948640.034775296,-9648812.007574348,,
East Brewton city,AL,010539698024,3644630.0704604196,-9690956.676232755,,
East Point CDP,AL,010439642013,4054505.8457030547,-9661669.40876097,,
Eclectic town,AL,010510305003,3847646.242637538,-9578047.209152479,010510305003,4.833333333
Edgewater CDP,AL,010730125002,3965878.9788480247,-9679540.30585445,010730125002,3.333333333
Edwardsville town,AL,010299595001,4013201.8111693664,-9508256.790233526,010299595001,2.0
Egypt CDP,AL,010550110022,4039003.2076557116,-9591849.93545492,010550110022,2.833333333
Elba city,AL,010310105002,3687052.2078075944,-9582060.61075405,010310105002,9.166666667
Elberta town,AL,010030116012,3551683.345244498,-9751111.947945587,010030116012,6.833333333
Eldridge town,AL,011270211003,4018474.597761054,-9754133.158925716,011270211003,6.166666667
Elkmont town,AL,010830202022,4154726.0644953,-9682232.122461323,010830202022,3.833333333
Elmore town,AL,010510309021,3836597.6334756957,-9611438.937569303,010510309021,7.0
Emelle town,AL,011190114001,3859345.633618241,-9831346.250171274,011190114001,3.0
Emerald Mountain CDP,AL,010510307012,3822221.958219844,-9583982.653082086,010510307012,5.5
Enterprise city,AL,010310111001,3675097.8353788685,-9556340.91032321,010310111001,10.5
Epes town,AL,011190113021,3854896.420243585,-9811918.43867956,,
Equality CDP,AL,010379612003,3864240.2643144126,-9587189.099694898,010379612003,2.5
Ethelsville town,AL,011070502001,3950394.1541512776,-9820170.552532066,011070502001,2.166666667
Eufaula city,AL,010059508001,3751494.2562481305,-9479156.205547804,010059508001,8.666666667
Eunola CDP,AL,010610504004,3636826.5336584826,-9554993.387887156,010610504004,4.166666667
Eutaw city,AL,010630601011,3874913.5616073776,-9785020.19879969,,
Eva town,AL,011030056022,4072728.248639288,-9658671.018276453,,
Evergreen city,AL,010359605001,3689139.2165326453,-9682133.048114516,010359605001,6.166666667
Excel town,AL,010990761022,3688248.1697509536,-9723052.08917929,,
Fairfield city,AL,010730106042,3958496.902747985,-9675824.1272933,,
Fairford CDP,AL,011290442003,3655887.7319190283,-9804217.467625972,011290442003,2.833333333
Fairhope city,AL,010030111043,3570686.5379278753,-9782659.112399964,,
Fairview town,AL,010439642011,4062446.781720961,-9648920.098799907,,
Falkville town,AL,011030055004,4079539.513520055,-9674726.517114077,011030055004,7.666666667
Faunsdale town,AL,010919731001,3823530.613528506,-9750895.988133447,010919731001,4.166666667
Fayette city,AL,010570202003,3987816.104060731,-9777321.008857954,010570202003,4.5
Fayetteville CDP,AL,011210115012,3917637.3429397936,-9622765.584438028,,
Fitzpatrick CDP,AL,010119525001,3790957.668203528,-9559415.777297901,010119525001,2.0
Five Points town,AL,010179538003,3897601.934593072,-9501295.759835241,010179538003,2.666666667
Flomaton town,AL,010539703001,3634673.432536514,-9713295.269769732,010539703001,3.166666667
Florala town,AL,010399630002,3635657.3824987477,-9608892.726856388,010399630002,4.0
Florence city,AL,010770109023,4140776.9875259474,-9758511.688457087,,
Foley city,AL,010030115042,3554692.023779281,-9759208.325830473,,
Forestdale CDP,AL,010730124011,3971703.1172979153,-9673668.98195154,010730124011,14.0
Forkland town,AL,010630602003,3848599.816662371,-9781358.232830554,010630602003,1.0
Fort Deposit town,AL,010857812002,3761507.3049809677,-9636523.003707714,010857812002,2.666666667
Fort Payne city,AL,010499613001,4090376.6957568647,-9538905.606397204,010499613001,4.833333333
Fort Rucker CDP,AL,010450200002,3677319.5336309383,-9541869.487839574,010450200002,4.666666667
Franklin town,AL,010872316031,3822881.412780063,-9549588.158692198,010872316031,5.166666667
Fredonia CDP,AL,010179538003,3893124.287654945,-9494696.072504072,010179538003,2.666666667
Frisco City town,AL,010990761021,3689957.131987453,-9729789.033442607,,
Fruitdale CDP,AL,011290443003,3678259.8397041396,-9841860.48739619,011290443003,4.5
Fruithurst town,AL,010299595002,3992543.2801004015,-9510163.136513362,010299595002,4.333333333
Fulton town,AL,010259575002,3735905.847206475,-9767640.999897044,010259575002,4.166666667
Fultondale city,AL,010730120032,3977538.21886156,-9662691.655644925,,
Fyffe town,AL,010499605001,4089246.476172088,-9562919.44695113,010499605001,2.666666667
Gadsden city,AL,010550012002,4029687.876456343,-9575266.0029945,010550012002,7.5
Gainesville town,AL,011190114001,3870765.23170707,-9814014.362052217,011190114001,3.0
Gallant CDP,AL,010550103003,4028979.0027057906,-9599098.726736905,010550103003,1.833333333
Gantt town,AL,010399616001,3686207.2257675244,-9627301.853687854,010399616001,2.5
Garden City town,AL,010439654023,4030774.436228571,-9656860.518078191,010439654023,7.666666667
Gardendale city,AL,010730117103,3985116.95611095,-9663473.563748257,,
Gaylesville town,AL,010199557022,4064770.0033689393,-9524634.558996998,010199557022,4.666666667
Geiger town,AL,011190114002,3877891.0124375215,-9831531.931081917,011190114002,3.5
Geneva city,AL,010610503006,3638370.891876252,-9559654.001008198,010610503006,9.166666667
Georgiana town,AL,010139534002,3716034.015095265,-9656605.373805294,010139534002,5.666666667
Geraldine town,AL,010499606023,4077121.1557773636,-9573763.301188283,,
Gilbertown town,AL,010239569004,3745766.2445307225,-9830350.942604091,010239569004,6.666666667
Glen Allen town,AL,010570201001,4014323.9507163456,-9766357.486168196,010570201001,3.5
Glencoe city,AL,010550105061,4021867.323624179,-9566085.261949798,,
Glenwood town,AL,010419637001,3720236.1141237905,-9592810.956618939,010419637001,6.666666667
Goldville town,AL,011239619002,3906574.063601074,-9548761.277514584,011239619002,2.666666667
Good Hope city,AL,010439647001,4043674.5558277336,-9670001.783966338,010439647001,6.166666667
Goodwater town,AL,010379610001,3903365.374208917,-9579318.923015302,010379610001,4.833333333
Gordo town,AL,011070500002,3938160.5886716913,-9785393.007774357,011070500002,4.5
Gordon town,AL,010690418001,3651413.1931951777,-9472454.215604594,010690418001,2.666666667
Gordonville town,AL,010857811001,3784223.5291235833,-9651871.289820328,010857811001,3.833333333
Goshen town,AL,011091888002,3726614.09755273,-9587195.778864343,011091888002,3.833333333
Graham CDP,AL,011110002001,3955879.9922549776,-9498122.3751112,011110002001,2.166666667
Grand Bay CDP,AL,010970066003,3564377.064817638,-9834453.73375677,010970066003,2.666666667
Grant town,AL,010950302051,4098594.040299024,-9602467.143208819,,
Grayson Valley CDP,AL,010730111132,3981442.8999636206,-9644936.864780342,,
Graysville city,AL,010730116003,3979729.784571447,-9678272.154215334,010730116003,6.0
Greensboro city,AL,010650404012,3855679.3993550246,-9750886.080698766,,
Greenville city,AL,010139527001,3742728.970186468,-9644381.269201793,010139527001,7.5
Grimes town,AL,010450214004,3671754.382037871,-9512282.770937556,010450214004,4.666666667
Grove Hill town,AL,010259578002,3723821.0523347305,-9770830.971225217,010259578002,6.333333333
Guin city,AL,010939646001,4026549.104588912,-9785246.288685491,010939646001,6.166666667
Gulfcrest CDP,AL,010970059003,3631594.1420395165,-9823080.221382419,,
Gulf Shores city,AL,010030114193,3539227.705796997,-9762981.499970911,,
Guntersville city,AL,010950307021,4078315.974509504,-9601564.676096959,010950307021,8.333333333
Gurley town,AL,010890109021,4123371.3987614936,-9615807.782304976,010890109021,8.0
Gu-Win town,AL,010939646003,4021329.35251136,-9781685.512133487,010939646003,4.5
Hackleburg town,AL,010939641003,4065027.4201615364,-9777235.626808517,010939641003,2.833333333
Hackneyville CDP,AL,011239620002,3902560.616737522,-9566176.209973775,011239620002,4.0
Haleburg town,AL,010670306002,3686107.574430235,-9477526.376883099,010670306002,2.0
Haleyville city,AL,011339657002,4060243.333154935,-9753543.722221967,011339657002,10.66666667
Hamilton city,AL,010939644011,4047443.035572094,-9792868.334220106,,
Hammondville town,AL,010499614002,4105088.937446705,-9533439.930718746,010499614002,2.666666667
Hanceville city,AL,010439654022,4037400.2470249054,-9658572.834485574,010439654022,8.0
Hanover CDP,AL,010379611001,3895691.816445095,-9595843.74482611,010379611001,2.5
Harpersville town,AL,011170301031,3937552.9789165608,-9621168.928981582,011170301031,7.0
Hartford city,AL,010610504002,3646438.15737013,-9539103.532451835,010610504002,5.0
Hartselle city,AL,011030053033,4088095.9879575586,-9678157.049861852,,
Harvest CDP,AL,010890105034,4144203.136494799,-9657927.960675409,,
Hatton CDP,AL,010799793002,4104337.2083955486,-9730863.600487236,010799793002,4.833333333
Hayden town,AL,010090506033,4014646.6130331424,-9656322.844937662,,
Hayneville town,AL,010857808002,3787302.9959182804,-9637884.329760626,010857808002,6.0
Hazel Green CDP,AL,010890103044,4153511.133174786,-9636637.996741705,,
Headland city,AL,010670305002,3678935.5907399235,-9501901.226545667,010670305002,5.0
Heath town,AL,010399620002,3677614.4957385473,-9625690.615378112,010399620002,5.0
Heflin city,AL,010299596002,3981554.156983927,-9525535.244997006,010299596002,8.0
Helena city,AL,011170303362,3932984.467933895,-9671345.744178686,011170303362,5.5
Henagar city,AL,010499602003,4113799.3323759236,-9543522.136999892,010499602003,5.5
Highland Lake town,AL,010090501072,4014656.2689035963,-9620514.593014697,,
Highland Lakes CDP,AL,011170302164,3948199.8797094724,-9645602.332696304,,
Hillsboro town,AL,010799791001,4115415.465602517,-9704665.003607001,010799791001,3.166666667
Hissop CDP,AL,010379612002,3880787.687529076,-9587903.325547826,010379612002,4.166666667
Hobson CDP,AL,011290440001,3696383.371066828,-9812916.417914521,011290440001,2.5
Hobson City town,AL,010150012013,3977730.4471295355,-9556349.25928502,,
Hodges town,AL,010599736001,4073771.8864393863,-9787561.400135519,010599736001,1.666666667
Hokes Bluff city,AL,010550106013,4027416.654955352,-9558211.300407516,010550106013,5.5
Hollins CDP,AL,010279592001,3911476.342641898,-9587610.110009076,010279592001,1.833333333
Hollis Crossroads CDP,AL,010299597002,3966043.770031606,-9534832.982826531,010299597002,5.0
Holly Pond town,AL,010439653001,4051340.4446761617,-9641611.194992894,010439653001,6.833333333
Hollywood town,AL,010719506021,4125526.555577583,-9569644.480028933,,
Holt CDP,AL,011250105001,3925838.6248349114,-9738551.213201929,011250105001,7.833333333
Holtville CDP,AL,010510301021,3846334.5264584622,-9609989.446479684,,
Homewood city,AL,010730107042,3956328.178394014,-9663606.033942303,010730107042,7.0
Hoover city,AL,010730144082,3945202.442949078,-9663579.985181455,010730144082,10.16666667
Horn Hill town,AL,010399628002,3663714.536851682,-9609673.187806342,010399628002,2.333333333
Hueytown city,AL,010730140022,3949665.7503026472,-9686639.706379792,010730140022,3.166666667
Huguley CDP,AL,010179542001,3874491.547629409,-9488832.763604501,010179542001,2.5
Huntsville city,AL,010890111001,4122877.9986283192,-9648802.768056612,010890111001,6.333333333
Hurtsboro town,AL,011130311002,3794867.5957974335,-9508317.5706755,011130311002,4.5
Hytop town,AL,010719506011,4149843.110503254,-9583403.235132508,,
Ider town,AL,010499601021,4123538.6235501473,-9536624.78135034,,
Indian Springs Village city,AL,011170303052,3943347.1482223966,-9656615.837837428,011170303052,5.166666667
Irondale city,AL,010730127014,3967189.7614564938,-9646844.88085254,010730127014,6.833333333
Ivalee CDP,AL,010550103001,4033798.709014379,-9589860.433515463,010550103001,5.166666667
Jackson city,AL,010259579012,3702075.844017334,-9784001.736778423,010259579012,7.833333333
Jacksons' Gap town,AL,011239625011,3879919.524666567,-9552887.223121347,011239625011,2.333333333
Jacksonville city,AL,010150021051,4003326.9540535994,-9546227.089306677,,
Jasper city,AL,011270203023,4008827.215104495,-9714668.061730193,,
Jemison city,AL,010210604031,3891416.1873547733,-9655081.187337352,,
Joppa CDP,AL,010439641004,4069095.5439742827,-9634695.916905327,010439641004,2.5
Kansas town,AL,011270211003,4015758.969291019,-9746755.904951354,011270211003,6.166666667
Kellyton town,AL,010379610002,3892541.8441868075,-9577328.7531589,010379610002,3.333333333
Kennedy town,AL,010750302002,3972641.222474962,-9794501.057191571,010750302002,6.5
Killen town,AL,010770116051,4145001.3659372274,-9743722.226188257,,
Kimberly city,AL,010730113032,3998895.324289419,-9662553.842115322,,
Kinsey city,AL,010690416001,3671285.3811435825,-9499448.078927055,010690416001,5.666666667
Kinston town,AL,010310106001,3661301.8639503643,-9592408.870618192,010310106001,7.333333333
Ladonia CDP,AL,011130309061,3823807.0062394636,-9472222.559744254,,
La Fayette city,AL,010179540022,3881962.1757903746,-9506773.012740744,,
Lakeview town,AL,010499605004,4081516.445659119,-9570757.007019918,010499605004,6.5
Lake View city,AL,011250106042,3933629.2594954344,-9699562.563427001,,
Lanett city,AL,010179548001,3876556.976692145,-9485287.571781207,,
Langston town,AL,010719511022,4102227.6068358324,-9583867.882687079,,
Leeds city,AL,010730110022,3968115.7457945193,-9637089.508596363,010730110022,7.666666667
Leesburg town,AL,010199558011,4052812.5612465227,-9548751.815357868,,
Leighton town,AL,010330208023,4122331.0052158623,-9743158.50428688,010330208023,3.666666667
Leroy CDP,AL,011290441003,3697198.768885224,-9793084.294032246,011290441003,3.666666667
Lester town,AL,010830203001,4161537.3208572404,-9702109.664695842,010830203001,3.333333333
Level Plains town,AL,010450211013,3672699.7338497546,-9547730.45902984,010450211013,3.333333333
Lexington town,AL,010770117003,4158358.478499151,-9726298.944767255,010770117003,4.0
Libertyville town,AL,010399619002,3663963.6029854,-9624344.206136968,010399619002,6.666666667
Lillian CDP,AL,010030116032,3557510.496493061,-9731633.486085562,,
Lincoln city,AL,011210102023,3972567.3310632417,-9587711.299426207,,
Linden town,AL,010919730011,3802934.1428013523,-9773025.634986205,,
Lineville city,AL,010279589002,3936901.175954672,-9545899.921323236,010279589002,6.833333333
Lipscomb city,AL,010730105002,3951986.4802023005,-9676569.52260365,010730105002,14.0
Lisman town,AL,010239567001,3785873.896524821,-9827740.166586516,010239567001,2.0
Littleville town,AL,010330209011,4108994.925694805,-9759460.909755083,010330209011,6.166666667
Livingston city,AL,011190113011,3841742.0881943177,-9816924.03090257,,
Loachapoka town,AL,010810410012,3843380.227816472,-9528779.09495872,,
Lockhart town,AL,010399630001,3634438.984711637,-9612468.42022016,010399630001,1.666666667
Locust Fork town,AL,010090507011,4012270.4438429824,-9645510.271477418,,
Lookout Mountain CDP,AL,010550108002,4044377.3530149083,-9569631.678287491,010550108002,3.666666667
Louisville town,AL,010059503002,3734603.8346218965,-9524310.396639805,010059503002,2.166666667
Lowndesboro town,AL,010857810001,3799650.254641285,-9641475.496533617,010857810001,3.166666667
Loxley city,AL,010030104002,3591854.28194949,-9767084.513762569,010030104002,4.0
Luverne city,AL,010419637003,3726473.5466757324,-9603430.279443162,,
Lynn town,AL,011339659002,4036537.7142958576,-9745870.358402094,011339659002,2.833333333
McCalla CDP,AL,010730142072,3935606.470481091,-9687763.476639349,,
McDonald Chapel CDP,AL,010730125001,3964340.2845580135,-9677945.320190364,010730125001,4.0
Macedonia CDP,AL,011070502001,3948936.992216287,-9822745.149715133,011070502001,2.166666667
McIntosh town,AL,011290442002,3667206.8707530503,-9799273.212442389,011290442002,3.833333333
McKenzie town,AL,010139535001,3703923.896516181,-9654289.037840867,010139535001,4.833333333
McMullen town,AL,011070504011,3914978.300672405,-9815679.4789955,,
Madison city,AL,010890110254,4124612.983872285,-9658332.829663424,,
Madrid town,AL,010690421001,3637377.8917157785,-9506596.014750382,010690421001,3.666666667
Magnolia Springs town,AL,010030114102,3555510.549866699,-9771167.93532385,,
Malcolm CDP,AL,011290442005,3658594.890772966,-9796184.65317033,,
Malvern town,AL,010610506001,3651425.159210593,-9520373.805486884,010610506001,3.666666667
Maplesville town,AL,010210605003,3866720.3191922214,-9671403.296355424,010210605003,4.5
Marbury CDP,AL,010010209011,3851978.068011727,-9625098.17304811,,
Margaret city,AL,011150405062,3984959.3826852157,-9625121.99541914,,
Marion city,AL,011056870024,3846555.140519101,-9720121.046986703,,
Maytown town,AL,010730123021,3968530.7465841197,-9684800.485752907,010730123021,5.666666667
Meadowbrook CDP,AL,011170303301,3947883.074415064,-9651886.651910057,011170303301,7.833333333
Megargel CDP,AL,010990761011,3681955.9389393236,-9732735.326405434,,
Memphis town,AL,011070504012,3913508.421779454,-9830172.49746035,,
Mentone town,AL,010499614003,4104680.2858381076,-9527802.266427008,010499614003,4.166666667
